Exchange Procedure,Exchange Parameter,Schedule,Power Term,Iterations,Final Avg. Fitness,Final Min. Fitness,Avg. Fitness Progression
Periodic,0.1,Power,1,100,-0.1936352108002647,-0.3435065203317278,"[-0.04676051 -0.05161155 -0.05510588 -0.05789803 -0.06023139 -0.06266816
 -0.06435601 -0.06604191 -0.06797303 -0.07016316 -0.09032703 -0.09131762
 -0.0923195  -0.0950686  -0.09581317 -0.09656577 -0.09896476 -0.09996465
 -0.1005543  -0.10089016 -0.11390929 -0.11501671 -0.11783285 -0.11821206
 -0.11804089 -0.11902411 -0.11941431 -0.12030654 -0.12185946 -0.1225557
 -0.1330003  -0.13269592 -0.13382463 -0.13460707 -0.13565472 -0.13636536
 -0.1382587  -0.14011893 -0.1399584  -0.1399654  -0.15120398 -0.15118368
 -0.1521787  -0.15290288 -0.15311183 -0.15441921 -0.1534564  -0.15448427
 -0.15578134 -0.15639037 -0.16465618 -0.16467711 -0.16421853 -0.16523688
 -0.16419358 -0.16445725 -0.16438412 -0.16446453 -0.16448631 -0.16455236
 -0.16956412 -0.16983987 -0.17013983 -0.17084201 -0.17072274 -0.17162362
 -0.17186451 -0.173316   -0.17340024 -0.17408851 -0.18004329 -0.18002678
 -0.1808257  -0.1808163  -0.18175354 -0.18162464 -0.18173    -0.18278336
 -0.18300427 -0.18291521 -0.18763853 -0.18757847 -0.18754431 -0.18779906
 -0.187889   -0.1878747  -0.18789393 -0.18852871 -0.18845182 -0.1891057
 -0.19218361 -0.19221666 -0.192695   -0.19268761 -0.19280394 -0.19283356
 -0.19293941 -0.19318125 -0.19328871 -0.19363521]"
Periodic,0.1,Power,3,100,-0.1936352108002647,-0.3435065203317278,"[-0.04676051 -0.05161155 -0.05510588 -0.05789803 -0.06023139 -0.06266816
 -0.06435601 -0.06604191 -0.06797303 -0.07016316 -0.09032703 -0.09131762
 -0.0923195  -0.0950686  -0.09581317 -0.09656577 -0.09896476 -0.09996465
 -0.1005543  -0.10089016 -0.11390929 -0.11501671 -0.11783285 -0.11821206
 -0.11804089 -0.11902411 -0.11941431 -0.12030654 -0.12185946 -0.1225557
 -0.1330003  -0.13269592 -0.13382463 -0.13460707 -0.13565472 -0.13636536
 -0.1382587  -0.14011893 -0.1399584  -0.1399654  -0.15120398 -0.15118368
 -0.1521787  -0.15290288 -0.15311183 -0.15441921 -0.1534564  -0.15448427
 -0.15578134 -0.15639037 -0.16465618 -0.16467711 -0.16421853 -0.16523688
 -0.16419358 -0.16445725 -0.16438412 -0.16446453 -0.16448631 -0.16455236
 -0.16956412 -0.16983987 -0.17013983 -0.17084201 -0.17072274 -0.17162362
 -0.17186451 -0.173316   -0.17340024 -0.17408851 -0.18004329 -0.18002678
 -0.1808257  -0.1808163  -0.18175354 -0.18162464 -0.18173    -0.18278336
 -0.18300427 -0.18291521 -0.18763853 -0.18757847 -0.18754431 -0.18779906
 -0.187889   -0.1878747  -0.18789393 -0.18852871 -0.18845182 -0.1891057
 -0.19218361 -0.19221666 -0.192695   -0.19268761 -0.19280394 -0.19283356
 -0.19293941 -0.19318125 -0.19328871 -0.19363521]"
Periodic,0.1,Power,5,100,-0.19415629890932593,-0.34079741207122227,"[-0.04676051 -0.05161155 -0.05510588 -0.05789803 -0.06023139 -0.06266816
 -0.06435601 -0.06604191 -0.06797303 -0.07016316 -0.09032703 -0.09131762
 -0.0923195  -0.0950686  -0.09581317 -0.09656577 -0.09896476 -0.09969548
 -0.10028512 -0.10058653 -0.11408855 -0.11520748 -0.11646391 -0.11802835
 -0.11859141 -0.11916576 -0.1194741  -0.11982959 -0.12112317 -0.12243518
 -0.13220951 -0.13245784 -0.13292376 -0.13369445 -0.13611812 -0.13535358
 -0.13673763 -0.13691574 -0.13714609 -0.1382262  -0.14787267 -0.1491495
 -0.14969147 -0.1497055  -0.14916275 -0.15201997 -0.15201692 -0.15313157
 -0.15378694 -0.15413597 -0.163504   -0.16316855 -0.16309206 -0.16370734
 -0.1641842  -0.1647468  -0.16591787 -0.16655222 -0.16685818 -0.16738168
 -0.1761761  -0.1761873  -0.17621382 -0.17611049 -0.17601776 -0.17626995
 -0.17682457 -0.17670645 -0.17675706 -0.17673081 -0.18252289 -0.18250175
 -0.18300027 -0.18302389 -0.18307391 -0.18377983 -0.18374012 -0.18385651
 -0.18382945 -0.18389843 -0.18819131 -0.18817894 -0.18812137 -0.18822028
 -0.18825713 -0.18826135 -0.18826632 -0.18909306 -0.18943513 -0.18956314
 -0.19286943 -0.19287584 -0.19309226 -0.19345246 -0.19344921 -0.19289767
 -0.1930823  -0.1931535  -0.19414984 -0.1941563 ]"
Periodic,0.3,Power,1,100,-0.18711061051297134,-0.35935750295270563,"[-0.04676051 -0.05161155 -0.05510588 -0.05789803 -0.06023139 -0.06266816
 -0.06435601 -0.06604191 -0.06797303 -0.07016316 -0.07355479 -0.0764549
 -0.0768004  -0.07966663 -0.07997348 -0.08277259 -0.08457739 -0.08603945
 -0.08881355 -0.08804297 -0.08894164 -0.08959817 -0.09433049 -0.09536033
 -0.09653108 -0.09694147 -0.09841135 -0.09844323 -0.09960071 -0.10069011
 -0.12646322 -0.12573867 -0.12428649 -0.12761725 -0.12606217 -0.1266156
 -0.12774336 -0.12946736 -0.12964794 -0.12993764 -0.13127901 -0.13133112
 -0.13278267 -0.13305928 -0.13347723 -0.13534124 -0.13737325 -0.13771982
 -0.13942222 -0.13991938 -0.13956718 -0.14047438 -0.14033522 -0.14056816
 -0.14019877 -0.1406714  -0.14084457 -0.14114951 -0.14157022 -0.14234188
 -0.15897932 -0.16049209 -0.16029458 -0.16062834 -0.16058177 -0.16101592
 -0.16185225 -0.16323912 -0.16347491 -0.16378629 -0.16497747 -0.1650768
 -0.16609911 -0.16598375 -0.16678667 -0.1671871  -0.16716675 -0.1671351
 -0.16715775 -0.1678289  -0.16797646 -0.16839251 -0.16867191 -0.16880858
 -0.16907617 -0.16927697 -0.16978636 -0.17000436 -0.17101491 -0.17152729
 -0.18470224 -0.18491734 -0.18515392 -0.18522427 -0.18522786 -0.18521911
 -0.18561495 -0.18586752 -0.18586654 -0.18711061]"
Periodic,0.3,Power,3,100,-0.18711061051297134,-0.35935750295270563,"[-0.04676051 -0.05161155 -0.05510588 -0.05789803 -0.06023139 -0.06266816
 -0.06435601 -0.06604191 -0.06797303 -0.07016316 -0.07355479 -0.0764549
 -0.0768004  -0.07966663 -0.07997348 -0.08277259 -0.08457739 -0.08603945
 -0.08881355 -0.08804297 -0.08894164 -0.08959817 -0.09433049 -0.09536033
 -0.09653108 -0.09694147 -0.09841135 -0.09844323 -0.09960071 -0.10069011
 -0.12646322 -0.12573867 -0.12428649 -0.12761725 -0.12606217 -0.1266156
 -0.12774336 -0.12946736 -0.12964794 -0.12993764 -0.13127901 -0.13133112
 -0.13278267 -0.13305928 -0.13347723 -0.13534124 -0.13737325 -0.13771982
 -0.13942222 -0.13991938 -0.13956718 -0.14047438 -0.14033522 -0.14056816
 -0.14019877 -0.1406714  -0.14084457 -0.14114951 -0.14157022 -0.14234188
 -0.15897932 -0.16049209 -0.16029458 -0.16062834 -0.16058177 -0.16101592
 -0.16185225 -0.16323912 -0.16347491 -0.16378629 -0.16497747 -0.1650768
 -0.16609911 -0.16598375 -0.16678667 -0.1671871  -0.16716675 -0.1671351
 -0.16715775 -0.1678289  -0.16797646 -0.16839251 -0.16867191 -0.16880858
 -0.16907617 -0.16927697 -0.16978636 -0.17000436 -0.17101491 -0.17152729
 -0.18470224 -0.18491734 -0.18515392 -0.18522427 -0.18522786 -0.18521911
 -0.18561495 -0.18586752 -0.18586654 -0.18711061]"
Periodic,0.3,Power,5,100,-0.1852916895611244,-0.3577167778301406,"[-0.04676051 -0.05161155 -0.05510588 -0.05789803 -0.06023139 -0.06266816
 -0.06435601 -0.06604191 -0.06797303 -0.07016316 -0.07355479 -0.0764549
 -0.0768004  -0.07966663 -0.07997348 -0.08277259 -0.08457739 -0.08603945
 -0.08853637 -0.08776579 -0.08866446 -0.08932099 -0.09405331 -0.09392074
 -0.09510155 -0.09558842 -0.0970583  -0.09762291 -0.09909465 -0.09962474
 -0.12204491 -0.12532465 -0.1251053  -0.12497624 -0.12504264 -0.12724245
 -0.13000311 -0.12830626 -0.12864165 -0.13068744 -0.13306211 -0.13309637
 -0.13220305 -0.1343022  -0.13438754 -0.13572398 -0.13509002 -0.13590574
 -0.13753907 -0.13938237 -0.13966062 -0.1408171  -0.14128392 -0.14166878
 -0.14199717 -0.1418711  -0.14213438 -0.14193357 -0.14173093 -0.14178985
 -0.15646868 -0.15652814 -0.15772292 -0.15787735 -0.15809373 -0.15981135
 -0.15965538 -0.16130285 -0.16179517 -0.16219049 -0.1614584  -0.16115429
 -0.16148054 -0.16152467 -0.16272543 -0.16321165 -0.16397944 -0.1640349
 -0.16444962 -0.16485159 -0.16505198 -0.16572479 -0.16600046 -0.16633552
 -0.16681382 -0.16735518 -0.16786276 -0.16791068 -0.16852719 -0.16871106
 -0.18283778 -0.18321333 -0.18380697 -0.18384053 -0.1840681  -0.18405606
 -0.18409895 -0.18412786 -0.18514947 -0.18529169]"
Periodic,0.5,Power,1,100,-0.16273228607822382,-0.36249614166942373,"[-0.04676051 -0.05161155 -0.05510588 -0.05789803 -0.06023139 -0.06266816
 -0.06435601 -0.06604191 -0.06797303 -0.07016316 -0.07355479 -0.0764549
 -0.0768004  -0.07966663 -0.07997348 -0.08277259 -0.08457739 -0.08603945
 -0.08881355 -0.08804297 -0.08894164 -0.08959817 -0.09433049 -0.09536033
 -0.09653108 -0.09694147 -0.09841135 -0.09844323 -0.09960071 -0.10069011
 -0.10384586 -0.1030193  -0.10561219 -0.1061798  -0.10698063 -0.10930097
 -0.11049174 -0.11104299 -0.11359093 -0.11394709 -0.11517305 -0.11429951
 -0.11527463 -0.11657604 -0.11834185 -0.11751013 -0.11826592 -0.11856819
 -0.11939344 -0.11977118 -0.14444931 -0.1464971  -0.14641958 -0.14619946
 -0.14604579 -0.14785736 -0.14802443 -0.14787513 -0.14843591 -0.14967036
 -0.14976453 -0.14990191 -0.15012354 -0.15091366 -0.15109256 -0.1516061
 -0.15184433 -0.15223517 -0.15234526 -0.15263003 -0.15343683 -0.15457021
 -0.15467674 -0.15488958 -0.15538121 -0.15570588 -0.15584102 -0.15621973
 -0.15653058 -0.15694396 -0.15771134 -0.15799233 -0.15818961 -0.15829323
 -0.15836573 -0.15917056 -0.15951074 -0.1606671  -0.16069382 -0.16068252
 -0.1606956  -0.16100234 -0.16106762 -0.16143568 -0.16164086 -0.16185355
 -0.1619111  -0.16217893 -0.16233022 -0.16273229]"
Periodic,0.5,Power,3,100,-0.16273228607822382,-0.36249614166942373,"[-0.04676051 -0.05161155 -0.05510588 -0.05789803 -0.06023139 -0.06266816
 -0.06435601 -0.06604191 -0.06797303 -0.07016316 -0.07355479 -0.0764549
 -0.0768004  -0.07966663 -0.07997348 -0.08277259 -0.08457739 -0.08603945
 -0.08881355 -0.08804297 -0.08894164 -0.08959817 -0.09433049 -0.09536033
 -0.09653108 -0.09694147 -0.09841135 -0.09844323 -0.09960071 -0.10069011
 -0.10384586 -0.1030193  -0.10561219 -0.1061798  -0.10698063 -0.10930097
 -0.11049174 -0.11104299 -0.11359093 -0.11394709 -0.11517305 -0.11429951
 -0.11527463 -0.11657604 -0.11834185 -0.11751013 -0.11826592 -0.11856819
 -0.11939344 -0.11977118 -0.14444931 -0.1464971  -0.14641958 -0.14619946
 -0.14604579 -0.14785736 -0.14802443 -0.14787513 -0.14843591 -0.14967036
 -0.14976453 -0.14990191 -0.15012354 -0.15091366 -0.15109256 -0.1516061
 -0.15184433 -0.15223517 -0.15234526 -0.15263003 -0.15343683 -0.15457021
 -0.15467674 -0.15488958 -0.15538121 -0.15570588 -0.15584102 -0.15621973
 -0.15653058 -0.15694396 -0.15771134 -0.15799233 -0.15818961 -0.15829323
 -0.15836573 -0.15917056 -0.15951074 -0.1606671  -0.16069382 -0.16068252
 -0.1606956  -0.16100234 -0.16106762 -0.16143568 -0.16164086 -0.16185355
 -0.1619111  -0.16217893 -0.16233022 -0.16273229]"
Periodic,0.5,Power,5,100,-0.1637726575795934,-0.320225965236737,"[-0.04676051 -0.05161155 -0.05510588 -0.05789803 -0.06023139 -0.06266816
 -0.06435601 -0.06604191 -0.06797303 -0.07016316 -0.07355479 -0.0764549
 -0.0768004  -0.07966663 -0.07997348 -0.08277259 -0.08457739 -0.08603945
 -0.08853637 -0.08776579 -0.08866446 -0.08932099 -0.09405331 -0.09392074
 -0.09510155 -0.09558842 -0.0970583  -0.09762291 -0.09909465 -0.09962474
 -0.09997064 -0.10288581 -0.1037723  -0.10502867 -0.10768957 -0.10793582
 -0.11091928 -0.11190491 -0.11183635 -0.11260161 -0.11297589 -0.1152587
 -0.11485455 -0.11695433 -0.11734651 -0.11982851 -0.12189807 -0.12219811
 -0.1217111  -0.12334472 -0.14818951 -0.14836674 -0.14963535 -0.14982052
 -0.15068822 -0.15102489 -0.15104508 -0.15103146 -0.1510323  -0.15155559
 -0.15164261 -0.15246889 -0.15283666 -0.15270865 -0.15299396 -0.15344787
 -0.15486198 -0.15461066 -0.15448729 -0.15561217 -0.15502666 -0.15550398
 -0.1553699  -0.15614466 -0.15605335 -0.15582445 -0.15631194 -0.15657369
 -0.15701008 -0.15730373 -0.15727754 -0.15732721 -0.15793149 -0.15829316
 -0.15908311 -0.16065964 -0.16086782 -0.16077385 -0.16117599 -0.16128465
 -0.16191909 -0.16221312 -0.16222567 -0.16248911 -0.16314063 -0.16282647
 -0.16300631 -0.16313108 -0.16371616 -0.16377266]"
Stochastic,0.1,Power,1,100,-0.20145955988964792,-0.3506529241850282,"[-0.03627359 -0.04025424 -0.04190025 -0.04481348 -0.04876432 -0.05145653
 -0.05444381 -0.05641804 -0.07499293 -0.07597515 -0.07774025 -0.09025057
 -0.09117429 -0.0928818  -0.09399209 -0.09465639 -0.09520612 -0.0966177
 -0.0974376  -0.09955153 -0.10160675 -0.10382006 -0.10371403 -0.10461872
 -0.10495624 -0.10548344 -0.10730058 -0.10814405 -0.11008043 -0.12851411
 -0.12957906 -0.13015474 -0.13308337 -0.13099004 -0.13178886 -0.13166468
 -0.13327044 -0.14758451 -0.14584465 -0.14616283 -0.14708167 -0.14978543
 -0.15739089 -0.15833258 -0.15767802 -0.16119827 -0.16189198 -0.16545957
 -0.16512408 -0.16567561 -0.16662022 -0.16708016 -0.16799498 -0.16762775
 -0.16866486 -0.1674689  -0.16801625 -0.16847297 -0.16877015 -0.16953761
 -0.17012286 -0.17022641 -0.16994173 -0.16973773 -0.16974526 -0.16943281
 -0.16969949 -0.17011089 -0.17059811 -0.17114585 -0.17111932 -0.17696448
 -0.17817039 -0.1786213  -0.17872337 -0.17886511 -0.17924233 -0.17930011
 -0.17932042 -0.17963951 -0.17975097 -0.17979186 -0.18561799 -0.18607924
 -0.18603043 -0.18603359 -0.18603103 -0.18965881 -0.19111078 -0.19615831
 -0.19647014 -0.19648747 -0.19668833 -0.19691956 -0.19690142 -0.19689476
 -0.19769981 -0.19769898 -0.1978075  -0.20145956]"
